,id,listing_type,property_type,last_price,num_bedrooms,num_bathrooms,has_pool,has_terrace,surface_total
0,e2822ddf152f4842c29395ab9c8e379e,for-sale,apartment,4700000,2.0,1.0,0,0,101.0
1,0ba1c9fd7d004b87e118a94c0b1571dd,for-sale,apartment,7200000,2.0,2.0,0,1,70.0
2,0b2fc13289ffcfad80c52b6e1c88e2c6,for-sale,apartment,7500000,2.0,2.0,0,1,81.0
3,0d2b88624583c00a369b43028a9b63e6,for-sale,apartment,6600000,3.0,2.0,0,0,136.0
4,0d52ff8d810d19c4665e9c5a0e287816,for-sale,apartment,5600000,2.0,2.0,0,1,87.0
5,0d5dcd83f4d752ead779b05f21b65f6b,for-rent,apartment,49000,3.0,3.0,0,0,134.0
6,2b31edba4e03f2811f09124b204a17f8,for-sale,apartment,7950000,2.0,2.0,0,0,135.0
7,2bcd07ac1d6ace341d37560b37a223c2,for-sale,apartment,12200000,3.0,3.0,0,1,145.0
8,2bda110395f279b167294d52edbb6eaa,for-sale,apartment,3344219,1.0,1.0,0,1,44.0
9,1b7d3d5d77519d2f453b3d0b39287339,for-sale,apartment,7200000,2.0,2.0,0,0,167.0
10,1385030c86fa7ffe61d286835909b776,for-sale,house,38500000,7.0,8.0,0,0,514.0
11,217ed6678794aeddb1983e8e829926a7,for-sale,house,17500000,8.0,0.0,0,1,400.0
12,995caf182e793c4601583752f52f944d,for-sale,apartment,6229380,2.0,2.0,0,1,98.0
13,9a364ddae72429dbba515ce880abb241,for-sale,apartment,3128000,1.0,1.0,0,0,40.0
14,9988a5903cc185d7ac22f677f6125e0a,for-sale,apartment,9950000,3.0,3.0,0,1,240.0
15,9b66c406997e41d4e68e9424bfa886c9,for-rent,apartment,25000,2.0,1.0,0,0,90.0
16,3ac69fc3916bdaffb78c0747fa717047,for-sale,apartment,10850000,3.0,3.0,0,0,153.0
17,780cce8d30958301d059b3a0a7478431,for-rent,apartment,27719,1.0,1.0,0,1,42.0
18,a45560bd5c8d2bb89ca2a6ec0c472bbb,for-sale,apartment,3530881,1.0,1.0,0,0,49.0
19,dfc563c1ea50addf9c8ebe2523962212,for-sale,apartment,6700000,2.0,2.0,0,0,93.0
20,be95f39b314378b85d1691de8eac76c8,for-sale,apartment,2870659,0.0,1.0,0,1,40.0
21,df14e6d0d4d89e93703e41d5aebdc09e,for-sale,apartment,3140000,0.0,0.0,1,1,36.0
22,df322a6bcbc61b01a36080e0de5ce417,for-sale,apartment,8800000,2.0,2.0,0,0,91.0
23,df3a73e47d0d4dae948e5f40e24addbb,for-sale,apartment,3980000,1.0,1.0,0,1,67.0
24,e03038100f9a308924d2666d48351ac5,for-sale,apartment,13500000,3.0,3.0,0,0,245.0
25,b7daa8b96287bdae3c5daea0ce8618cb,for-sale,apartment,8500000,2.0,2.0,0,0,104.0
26,2c29e981f80d32430e4a68e26e3bc116,for-sale,apartment,12400000,3.0,3.0,0,1,240.0
27,fe37609921005893bf1d87c137e1777d,for-sale,apartment,4200000,2.0,2.0,0,0,62.0
28,1cde5df3654ece92f0cda16b39bf3f8f,for-sale,apartment,8700003,2.0,2.0,0,1,100.0
29,300f7e264e15fc800509575a046052a1,for-rent,apartment,75000,2.0,2.0,0,1,140.0
30,ef50c417898c2c2e38a5592f5b4ba360,for-rent,apartment,49000,3.0,3.0,0,1,135.0
31,77125151cf3a77ea4d9a996303ed921d,for-sale,apartment,4935306,1.0,1.0,0,1,53.0
32,8dec88dd0457a3d5682b62dedd45e5bb,for-sale,apartment,6490000,2.0,2.0,0,1,127.0
33,1e66129c401753b94fa8821cc247a981,for-sale,apartment,4500000,1.0,1.0,0,1,46.0
34,2fb8d96589e07f792ba927237206b71e,for-sale,apartment,3269750,1.0,1.0,0,0,41.0
35,619db99004e78e1ede74dfc1be9da15b,for-sale,apartment,3675087,1.0,1.0,0,0,46.0
36,7420cd68539d1b5da6d85b5dd9f1ce73,for-sale,apartment,5141090,1.0,1.0,0,1,54.0
37,0b05258aeec61c6bc66eae1946f0625a,for-sale,apartment,5600000,2.0,2.0,0,1,87.0
38,c87480e8762e6ae9441a0d5b5e36ab94,for-rent,apartment,15200,1.0,1.0,0,0,60.0
39,25cb7b5f1dc81389dc0d1410e3c5fafa,for-sale,apartment,3282500,1.0,1.0,0,0,35.99
40,27038c9066cc8efeca615719c6e7f4e6,for-sale,apartment,10593000,2.0,2.0,0,0,100.0
41,0cdad240521d201b83e571b998bcfed0,for-sale,apartment,3000000,0.0,1.0,0,0,33.47
42,18a001cb1ed9c9d22ee3485e17172f18,for-rent,apartment,38000,3.0,2.0,0,0,110.0
43,9205382b335861c53c28e3b1e1948b3d,for-sale,apartment,5677509,1.0,1.0,0,1,49.0
44,a23753f45cd9591c031a2d7209f984b0,for-sale,apartment,3171813,1.0,1.0,0,0,39.0
45,14fdf876defa1185c0d85acaff9526c8,for-rent,apartment,35017,3.0,2.0,0,0,144.0
46,1c81375c0d625805901db747b5c9316d,for-sale,apartment,4714700,2.0,2.0,0,1,83.0
47,1c8b43a37c8d3dbaafb451b135e34c6e,for-sale,apartment,5400000,2.0,2.0,0,1,95.0
48,32e64375b93e40bd1cf9094ba433393c,for-sale,apartment,8200000,2.0,2.0,0,0,100.0
49,1bd5ae03a598d453b3a8d6c4df2da260,for-sale,apartment,9700000,3.0,2.0,0,1,118.0
50,1bdaa7da684521853d4d4e1ace2164c0,for-sale,apartment,4981774,1.0,1.0,0,1,52.0
51,1be945fcab615fece405c8ef04b59636,for-rent,apartment,33000,2.0,2.0,0,1,65.0
52,1bfc79c4b163f71b0a1e42b289350b9e,for-sale,apartment,10593000,2.0,2.0,0,0,138.0
53,1c070dc86b47e68d31ce928b3f98c65f,for-rent,apartment,22000,2.0,1.0,0,0,75.0
54,1c18df8476f7ab35ff1d903c208c1266,for-sale,apartment,21500000,3.0,3.0,0,1,300.0
55,1c32d3a32b6aee15a8f9a843e4aeeeb9,for-sale,apartment,7358000,2.0,2.0,0,1,113.0
56,1c5b62e73e5038b6e662982542bc7d39,for-sale,apartment,3400000,1.0,1.0,0,1,39.0
57,32f96588ff882d356512b532eacea742,for-sale,apartment,6285000,2.0,2.0,1,1,105.0
58,333315534fe22eccb07fb77ef3a0bef5,for-sale,apartment,4681200,2.0,2.0,0,1,74.0
59,4ca62a8d991125a1fd17d5e840b52616,for-rent,apartment,34000,2.0,2.0,0,0,120.0
60,80517704519b40ad741c28c29ebd010d,for-sale,apartment,5800000,2.0,2.0,0,0,102.0
61,4c770b7e22a227f7318c1bb0ef47ad30,for-sale,apartment,7100000,3.0,2.0,0,0,140.0
62,4b8d2e57f557dac260556fdb0f98a794,for-sale,apartment,4906000,1.0,1.0,1,1,42.0
